pool,category,name,x,y,z
1,Target,Gem(Clone),-29.3002,-2.6782,13.8998
1,Target,Gem(Clone),-46.6861,-0.9003,58.9542
1,Target,Gem(Clone),-66.3894,-0.4370,69.7633
1,Target,Gem(Clone),-117.2290,-1.2525,18.9385
1,Target,Gem(Clone),-83.3504,-2.1857,49.6052
1,Target,Gem(Clone),-101.3903,-1.4777,4.8941
1,Target,Gem(Clone),-72.9872,-2.2137,13.5585
1,Target,Gem(Clone),-122.5251,-1.0778,44.7572
1,Target,Gem(Clone),8.5186,-3.2480,28.6486
1,Target,Gem(Clone),-23.7623,-1.0517,57.8432
1,Target,Gem(Clone),4.7261,-3.2135,52.9293
1,Target,Gem(Clone),-122.8241,-1.2517,-0.8692
1,Target,Gem(Clone),-46.1135,-2.0970,1.4192
1,Target,Gem(Clone),-22.4741,-3.3236,36.7831
1,Target,Gem(Clone),-91.8520,-2.5689,29.8346
1,Target,Gem(Clone),-107.7334,-1.1830,57.4761
1,Target,Gem(Clone),-83.4338,-0.5115,72.2915
1,Target,Gem(Clone),-47.9573,-2.6246,18.0456
1,Target,Gem(Clone),-10.1937,-2.3524,9.9166
1,Target,Gem(Clone),-68.4092,-2.5940,44.0058
1,RecallObject,73_strawberry(Clone),-130.4744,-1.2269,61.4368
1,RecallObject,Cylinder.017 (Gas)(Clone),-114.5062,-1.0872,-14.4288
1,RecallObject,CityElectricBox3(Clone),-44.7429,-2.6989,41.7017
1,RecallObject,Tall House Plant(Clone),-91.3588,-1.6368,-8.4991
1,RecallObject,Chair_01(Clone),-22.3431,-1.9491,1.3102
1,RecallObject,Beach Hot Dog(Clone),-106.3327,-1.8589,28.9975
1,RecallObject,CityPaintedElectricBox(Clone),-96.2680,-1.2560,16.5935
1,RecallObject,Tube(Clone),-12.3603,-3.6542,29.9688
1,RecallObject,banana10_lr(Clone),25.0445,-3.9696,38.1714
1,RecallObject,Pale(Clone),-86.2065,-2.1949,1.3791
1,RecallObject,(Box 2) Cube.083(Clone),-84.7443,-2.0874,17.6004
1,RecallObject,66_pumpkin(Clone),-56.1061,-2.8567,43.8672
1,RecallObject,Forklift_01(Clone),-25.3466,0.3922,70.6313
1,RecallObject,Beach Yellow Bottle(Clone),-36.9153,-1.7116,52.6141
1,RecallObject,Ice Cream Cart(Clone),-104.0893,-1.8746,-5.9468
2,Target,Gem(Clone),14.1425,-3.5179,39.2291
2,Target,Gem(Clone),-5.5005,-2.3566,12.4666
2,Target,Gem(Clone),-110.7839,-1.1349,58.2430
2,Target,Gem(Clone),-103.7426,-1.5236,-5.6638
2,Target,Gem(Clone),-103.5200,-1.5276,27.5772
2,Target,Gem(Clone),-49.1899,-0.7494,62.7715
2,Target,Gem(Clone),-20.9968,-3.3044,38.0322
2,Target,Gem(Clone),-3.9612,-2.3049,57.3166
2,Target,Gem(Clone),-71.3116,-2.2580,19.6760
2,Target,Gem(Clone),-52.1001,-2.2164,4.1856
2,Target,Gem(Clone),-77.8141,-2.3108,47.9421
2,Target,Gem(Clone),-59.4207,-2.7193,44.2370
2,Target,Gem(Clone),-130.7666,-0.9581,61.4656
2,Target,Gem(Clone),-85.1051,-1.4965,-8.1554
2,Target,Gem(Clone),-121.5500,-1.2466,-0.5253
2,Target,Gem(Clone),-37.5745,-2.3473,21.4669
2,Target,Gem(Clone),-25.1484,-2.0130,-0.4946
2,Target,Gem(Clone),-28.6779,-0.3807,62.1378
