set_id,pos,sheet_row,sheet_col,item_label,present
1,1,1,1,,
1,2,1,2,,
1,3,1,3,,
1,4,1,4,,
1,5,1,5,,
1,6,1,6,,
1,7,2,1,,
1,8,2,2,,
1,9,2,3,,
1,10,2,4,,
1,11,2,5,,
1,12,2,6,,
1,13,3,1,,
1,14,3,2,,
1,15,3,3,,
1,16,3,4,,
1,17,3,5,,
1,18,3,6,,
1,19,4,1,,
1,20,4,2,,
1,21,4,3,,
1,22,4,4,,
1,23,4,5,,
1,24,4,6,,
1,25,5,1,,
1,26,5,2,,
1,27,5,3,,
1,28,5,4,,
1,29,5,5,,
1,30,5,6,,
2,1,1,1,,
2,2,1,2,,
2,3,1,3,,
2,4,1,4,,
2,5,1,5,,
2,6,1,6,,
2,7,2,1,,
2,8,2,2,,
2,9,2,3,,
2,10,2,4,,
2,11,2,5,,
2,12,2,6,,
2,13,3,1,,
2,14,3,2,,
2,15,3,3,,
2,16,3,4,,
2,17,3,5,,
2,18,3,6,,
2,19,4,1,,
2,20,4,2,,
2,21,4,3,,
2,22,4,4,,
2,23,4,5,,
2,24,4,6,,
2,25,5,1,,
2,26,5,2,,
2,27,5,3,,
2,28,5,4,,
2,29,5,5,,
2,30,5,6,,
3,1,1,1,,
3,2,1,2,,
3,3,1,3,,
3,4,1,4,,
3,5,1,5,,
3,6,1,6,,
3,7,2,1,,
3,8,2,2,,
3,9,2,3,,
3,10,2,4,,
3,11,2,5,,
3,12,2,6,,
3,13,3,1,,
3,14,3,2,,
3,15,3,3,,
3,16,3,4,,
3,17,3,5,,
3,18,3,6,,
3,19,4,1,,
3,20,4,2,,
3,21,4,3,,
3,22,4,4,,
3,23,4,5,,
3,24,4,6,,
3,25,5,1,,
3,26,5,2,,
3,27,5,3,,
3,28,5,4,,
3,29,5,5,,
3,30,5,6,,
4,1,1,1,,
4,2,1,2,,
4,3,1,3,,
4,4,1,4,,
4,5,1,5,,
4,6,1,6,,
4,7,2,1,,
4,8,2,2,,
4,9,2,3,,
4,10,2,4,,
4,11,2,5,,
4,12,2,6,,
4,13,3,1,,
4,14,3,2,,
4,15,3,3,,
4,16,3,4,,
4,17,3,5,,
4,18,3,6,,
4,19,4,1,,
4,20,4,2,,
4,21,4,3,,
4,22,4,4,,
4,23,4,5,,
4,24,4,6,,
4,25,5,1,,
4,26,5,2,,
4,27,5,3,,
4,28,5,4,,
4,29,5,5,,
4,30,5,6,,
